content,polarity
"Tempatnya enak, meskipun nggak kekinian tapi cukup nyaman. Ada dua area. Area depan nonsmoking dan area belakang smoking. Dari segi pelayanannya baik dan cukup memuaskan. Sering diskon untuk beberapa kartu kredit. Sayangnya aku nggak punya CC :((( Makanannya enakkk. Pertama coba spaghetti granula. Porsinya banyak, daging ayam berbumbunya pas. Dan harganya juga standar. Spaghetti carbonaranya enak parah. Krimnya, aromanya, rasanya,. Lanjutan",positive
"Suasana nya kayu kayu, pelayanan ramah dan steaknya juga enak. Dan pada saat itu terdapat disc / promo salah satu bank. Thanks",positive
"aku suka banget jeng tututnya tiap kesana pasti pesen itu buat makanan pembuka, tempat lumayan nyaman. Sesuatu bgt kalo bulan puasa ngantrinya . Cuma yg disayangkan toiletnya kotor. Semua karyawan terlihat sibuk tapi ga ada satupun yg peduli sama toilet. posisi kotak sabun samping wastafel itu kurang sesuai sehingga membuang sabun percuma sampe tercecer kelantai .",positive
"Sering diskon 50% dengan kartu kredit jadinya murah. Menu favourite saya adalah spaghetti, enak banget. Jagoannya blackpepper adalah King Harry",positive
Yang sangat saya suka dengan menu yang ada di cafe ini adalah healty juice yang sehat namun enak. Menu steak nya pun tidak kalah enak. Namun karena tempanya yang kecil sehingga terkesan sumpek.,positive
"seringkali kesini mencoba menu satu-persatu, steaknya banyak pilihan, ada juga jeng tutut yang khas, pokokny harus coba deh kesini, gak akan nyesel",positive
"Kumpul dengan keluarga, keponakan anaknya ulang tahun mereka mengundang makan disini, kami brangkat ber 5",positive
Yang Saya beli adalah sirlion steak. Enak. Cuma sayang parkirannya sempit ya. Pelayanannya lumayan cepet.,positive
Tempat favorit buat kita2 yang seneng banget pas ada promo cc di tempat ini.hahhaa.soalnya jadi murah bingiiiiit.walaupun harus booking terlebih dahulu.kalo ga pasti waiting list bahkan bisa full book,positive
"Sudah agak lama berdiri, cafe yg dulu hanya menjual steak kini menunya lebih beragam.Tapi tetep yg saya pesan ya steak.Suasana cukup tenang dan nyaman.Rasa steak masih ok, saya selalu pesan Tenderloin, untuk harga memang agak mahal dari dulu, dengan porsi kecil tp cukuplah.pelayanan standar.Untuk parkir memang kurang luas, agak merepotkan kalau sedang penuh.",positive
steak enak dan suasana yang nyaman cocok untuk pertemuan keluarga dan teman kantor. steaknya pun oke.,positive
Saya memesan salah satu chicken steak dan rasanya sangat standard dibanding harganya yg relatif tinggi. Restoran ini memiliki area yg sangat luas.,positive
"Kalau ke blackpepper ini biasanya saya pesen tenderloin steak dengan tingkat kematangan medium. Steak nya enak dan juicy menurut saya, dari segi pelayanan sih so so, ga semua nya ramah. Kalau kesini saran saya nunggu kalau ada diskon pake kartu kredit biasanya 30-50%.",positive
"cukup menarik ketika mengunjungi blackpepper resto & cafe ini,menu-menunya komplit dengan rasa Nasional maupun International,makanan elite maupun makanan tradisional,bicara soal harga itu relatif,hanya yng menjadi perhatian dan perbaikan adalah parkirnya masih kurang luar,dapat mengganggu pihak lain.",positive
"Makanan yang ditawarkan cukup beragam dan enak, cafe ini juga menyajikan tutut, rasa nya pun enak dan pedas. Steak juga cukup empuk dengan saos yang OK",positive
"Macam menu steak nya lumayan banyak, walaupun harus merogoh kocek lebih dalam. soal rasa, menurut saya lumayan, jika dibilang lumer di mulut gak terlalu. namun dalam trip terakhir kesana, saat saya meminta ""well done"", ternyata yang dihidangkan adalah ""raw"", saat dikembalikan lagi ternyata hanya ""medium"". pelayannya tidak merata sopan, beberapa agak ""sombong"", termasuk kassa nya. banyak hal yang perlu diperbaiki.",positive
"blackpepper resto, salah satu tempat makan favorit saya, suami, dan keluarga. harganya cukup terjangkau apalagi kalo lagi ada promo kartu kredit. bisa dapet diskonnya sampe 50%. Rasa, porsi, dan harga sesuai :) namun sayangnya tempat parkir sangat terbatas dengan pengunjung yang lumayan banyak, apalagi saat weekend.",positive
"Salah satu rekan kerja ulang tahun dan mengajak makan bareng di Blackpepper. Pertama kali saya kesini memesan Chicken Milanisti Steak, Mineral Water & Ice Mochacino. Kalau di total sich sekitar 80rban, cukup murah lah. Rasa steaknya juara banget, terus saya juga coba icip2 menu yang dipesan temen2 saya, enak dan mengeyangkan. Pelayanan stafnya juga ramah dan profesional. Recommended, pokoknya.",positive
"pertama kali diajak temen,,, jadi ketagihan terus kesini. awalnya karena jeng tutut nya. ituuu tutut yg dibuat kuah ala thailand pedes2 seger ada aroma gingernya .jadi ga enek.tapi lama2 bbrp kali datang jadi nyoba yg lain. spt bubtut bakar tooop daging2annya empuk2 dan kerasa bumbunya . yg paling oke green juice. sayuran dan nenas tapi ga kerasa minum sayuraan hehhee. Lanjutan",positive
